2025-09-09 17:41:08 status not-installed libgpod4t64:amd64 <none>
2025-09-09 17:41:08 status installed librygel-db-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 remove librygel-db-2.6-2:amd64 0.40.3-1ubuntu2 <none>
2025-09-09 17:41:08 status half-configured librygel-db-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status half-installed librygel-db-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status config-files librygel-db-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status not-installed librygel-db-2.6-2:amd64 <none>
2025-09-09 17:41:08 status installed librygel-server-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 remove librygel-server-2.6-2:amd64 0.40.3-1ubuntu2 <none>
2025-09-09 17:41:08 status half-configured librygel-server-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status half-installed librygel-server-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status config-files librygel-server-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status not-installed librygel-server-2.6-2:amd64 <none>
2025-09-09 17:41:08 status installed librygel-core-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status installed librygel-renderer-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 remove librygel-renderer-2.6-2:amd64 0.40.3-1ubuntu2 <none>
2025-09-09 17:41:08 status half-configured librygel-renderer-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status half-installed librygel-renderer-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status config-files librygel-renderer-2.6-2:amd64 0.40.3-1ubuntu2
2025-09-09 17:41:08 status not-installed librygel-renderer-2.6-2:amd64 <none>
2025-09-09 17:41:08 status installed libgupnp-1.2-1:amd64 1.4.3-1
2025-09-09 17:41:08 status installed libgssdp-1.2-0:amd64 1.4.0.1-2build1
2025-09-09 17:41:08 status installed libgtksourceview-4-0:amd64 4.8.4-5build4
2025-09-09 17:41:08 remove libgtksourceview-4-0:amd64 4.8.4-5build4 <none>
2025-09-09 17:41:08 status half-configured libgtksourceview-4-0:amd64 4.8.4-5build4
2025-09-09 17:41:08 status half-installed libgtksourceview-4-0:amd64 4.8.4-5build4
2025-09-09 17:41:08 status config-files libgtksourceview-4-0:amd64 4.8.4-5build4
2025-09-09 17:41:08 status not-installed libgtksourceview-4-0:amd64 <none>
2025-09-09 17:41:08 status installed libgtksourceview-4-common:all 4.8.4-5build4
2025-09-09 17:41:08 remove libgtksourceview-4-common:all 4.8.4-5build4 <none>
2025-09-09 17:41:08 status half-configured libgtksourceview-4-common:all 4.8.4-5build4
2025-09-09 17:41:08 status half-installed libgtksourceview-4-common:all 4.8.4-5build4
2025-09-09 17:41:09 status config-files libgtksourceview-4-common:all 4.8.4-5build4
2025-09-09 17:41:09 status not-installed libgtksourceview-4-common:all <none>
2025-09-09 17:41:09 status installed libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3
2025-09-09 17:41:09 remove libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3 <none>
2025-09-09 17:41:09 status half-configured libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3
2025-09-09 17:41:09 status half-installed libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3
